timestamp,open,high,low,close,volume
2022-11-02,141.1600,143.5650,140.7000,140.7500,5176022
2022-11-01,142.9700,143.5500,141.5000,141.6900,4938327
2022-10-31,142.3400,143.0700,141.7700,142.3300,7524024
2022-10-28,140.0500,142.9000,140.0400,142.5100,4549390
2022-10-27,141.0100,142.1000,140.2950,140.7300,5534310
2022-10-26,140.3600,142.0400,139.8200,141.1400,6921059
2022-10-25,139.0900,140.4400,138.3200,140.0700,5017065
2022-10-24,137.4500,140.4750,137.1300,139.4100,6268879
2022-10-21,134.8100,137.4100,134.0000,136.8000,6044897
2022-10-20,133.9800,135.4000,133.6450,134.0900,4251646
2022-10-19,134.3300,134.7324,132.9700,133.7600,3779827
2022-10-18,133.4300,135.1000,133.3300,134.1400,5614055
2022-10-17,130.9600,132.8251,130.5850,131.3700,5937465
2022-10-14,132.4400,133.2200,130.0500,130.4300,5547555
2022-10-13,129.2800,132.9400,128.3700,132.2800,6848502
2022-10-12,133.0100,134.7693,130.9700,131.1700,5649193
2022-10-11,129.5100,133.8000,129.4550,132.6700,7092041
2022-10-10,129.5300,129.9300,128.2817,129.3200,3803852
2022-10-07,131.3100,131.6500,128.0700,128.5600,5693463
2022-10-06,133.0800,134.4800,131.5800,131.6800,4733488
2022-10-05,133.7600,134.6200,132.5100,132.9200,4851276
2022-10-04,133.8600,135.2000,133.3700,134.2500,5378122
2022-10-03,130.2400,132.7900,130.0100,132.5300,5858259
2022-09-30,132.2400,132.3600,129.7000,129.7000,6534061
2022-09-29,133.5000,134.1200,131.6300,132.2500,5080533
2022-09-28,131.4100,133.6500,129.7200,133.1100,5612761
2022-09-27,132.2300,133.4300,130.3035,130.9500,5659860
2022-09-26,128.7500,132.1400,128.2700,131.3100,7670361
2022-09-23,132.8700,133.1750,128.7700,130.0600,9065131
2022-09-22,134.5700,134.7200,132.8400,133.3900,5494799
2022-09-21,135.4400,137.4500,134.6200,134.7700,8301190
2022-09-20,133.4800,133.8800,132.5350,133.5500,4654483
2022-09-19,132.8200,134.7600,132.4700,134.3300,5617727
2022-09-16,132.0000,134.5500,131.2800,133.1900,13958131
2022-09-15,135.0500,135.1500,132.9700,133.4700,6729778
2022-09-14,135.6300,136.5300,134.1000,134.9200,6644898
2022-09-13,136.8600,137.9500,134.8100,135.2200,5895775
2022-09-12,137.0800,138.2490,136.9650,138.0700,4761506
2022-09-09,136.3000,137.5000,136.1300,136.8400,5381762
2022-09-08,135.4000,136.8700,134.8800,136.4300,5652008
