timestamp,open,high,low,close,volume
2022-11-02,111.5800,112.1000,109.3100,109.6100,20661778
2022-11-01,112.3700,112.5700,110.6500,111.9100,22213143
2022-10-31,109.5000,112.9100,109.4400,110.8100,26401838
2022-10-28,109.4600,111.2100,108.1200,110.7000,28169441
2022-10-27,108.4100,109.5800,107.4200,107.5500,18214023
2022-10-26,106.2600,107.8300,106.0000,107.1400,17390414
2022-10-25,106.4100,107.3300,105.0700,105.8800,15719805
2022-10-24,105.6600,107.6800,105.1200,106.6000,17024239
2022-10-21,104.4500,106.4000,103.9050,105.8600,22814149
2022-10-20,104.3200,105.0000,103.4100,103.9300,17649025
2022-10-19,101.2500,103.9900,101.2300,103.7900,20921704
2022-10-18,101.5400,102.3500,99.2300,100.8000,14065435
2022-10-17,101.0700,101.9700,100.5000,100.6200,14283231
2022-10-14,101.1200,102.2400,99.0400,99.1900,15229626
2022-10-13,97.5500,102.4500,97.4000,101.8700,22019142
2022-10-12,97.5000,98.9100,97.2300,98.4300,12635769
2022-10-11,97.2200,99.7600,96.7500,98.0000,17804127
2022-10-10,101.4900,102.0300,98.7200,98.8400,16786088
2022-10-07,102.1900,103.3150,100.1800,101.0300,24507647
2022-10-06,98.4700,102.1800,98.3300,102.0600,29124717
2022-10-05,95.7500,99.9900,95.6600,99.1200,34857698
2022-10-04,93.2400,95.3600,92.7100,95.2700,22133711
2022-10-03,90.0400,92.3600,89.7200,91.9200,23881332
2022-09-30,88.1700,89.0400,87.3100,87.3100,21357564
2022-09-29,88.1800,89.3582,87.1300,88.6800,17896011
2022-09-28,86.1200,89.2999,85.9200,88.8600,19543315
2022-09-27,85.6100,86.9550,84.8100,85.7400,17307293
2022-09-26,84.9000,86.2200,83.8900,83.9800,22043356
2022-09-23,87.5000,87.5000,84.8500,85.7500,27738816
2022-09-22,92.2000,92.6600,90.5200,90.5700,15566555
2022-09-21,93.5700,93.8800,90.8700,90.9500,17332419
2022-09-20,92.7300,92.9250,91.6400,92.4400,14712518
2022-09-19,91.0100,93.4900,91.0000,93.2000,15342110
2022-09-16,95.0700,95.3400,92.0000,93.2100,37874705
2022-09-15,96.2200,96.5400,94.0500,94.8300,21092271
2022-09-14,96.1900,98.5600,96.1500,97.6700,22655682
2022-09-13,96.6100,97.7800,94.9100,95.3300,18229124
2022-09-12,97.6500,99.1900,96.8765,97.6100,16118943
2022-09-09,96.5200,97.0000,95.3200,96.5000,17161438
2022-09-08,94.6600,95.4200,93.7200,94.9100,18759208
2022-09-07,93.1900,94.5919,92.3000,94.1400,16274657
2022-09-06,96.1600,96.5900,94.5100,94.9500,18959438
2022-09-02,96.3500,96.7900,95.1100,95.5900,18206807
2022-09-01,94.4200,95.0650,92.2901,93.8700,16422987
2022-08-31,94.0300,96.8400,93.5900,95.5900,18340884
2022-08-30,98.3600,98.6200,95.8200,96.3100,17086838
2022-08-29,98.1800,101.5550,98.1400,100.1200,22999850
2022-08-26,98.7700,99.9100,97.4200,97.8700,15531368
2022-08-25,98.9200,99.8600,98.1003,99.0900,15305729
2022-08-24,98.0100,98.9650,97.3600,98.5800,17050307
2022-08-23,95.5500,98.4100,95.4500,98.0000,23764738
2022-08-22,93.4200,94.4889,91.8600,94.0100,16019928
2022-08-19,94.1600,95.2000,93.8000,94.0800,16128557
2022-08-18,93.1500,95.3100,93.0900,94.3800,17770365
2022-08-17,91.2700,93.2100,90.9200,92.2000,13678045
2022-08-16,92.0300,92.8900,91.2900,91.4600,14038213
2022-08-15,90.5300,92.7300,89.6600,92.3200,20755230
2022-08-12,92.4800,94.0200,92.1100,94.0000,15058217
