timestamp,open,high,low,close,volume
2022-11-02,205.7600,207.0000,200.5800,200.9500,6987791
2022-11-01,208.9100,209.9700,205.3300,206.9300,5919513
2022-10-31,208.9200,209.6200,206.2000,207.1600,8674102
2022-10-28,205.0000,211.5186,203.3100,209.3400,8455603
2022-10-27,203.3200,206.3200,201.5900,204.2900,7946686
2022-10-26,196.5800,206.3650,196.5000,203.3300,15453125
2022-10-25,190.8700,195.2300,190.7200,194.3800,11907242
2022-10-24,191.4100,193.1300,189.1000,190.7100,7299213
2022-10-21,185.8000,190.9500,185.0500,190.3700,7582542
2022-10-20,186.4600,190.9800,186.4300,187.2200,5706843
2022-10-19,185.4900,187.6400,184.7550,186.4100,4927019
2022-10-18,189.4900,190.1900,185.7400,187.1700,5209168
2022-10-17,186.0000,188.5700,182.8500,185.2500,13952080
2022-10-14,186.7900,187.1300,182.0700,182.6200,6451219
2022-10-13,175.0000,185.3700,174.6000,184.6600,8426365
2022-10-12,179.0900,180.5900,178.2200,178.2400,4884685
2022-10-11,180.3700,181.6400,178.1900,179.1400,6294466
2022-10-10,184.1300,184.7800,180.9000,182.1800,4743798
2022-10-07,183.4500,184.6100,181.9300,183.8300,5610282
2022-10-06,186.6500,188.0500,185.2500,185.5900,5163043
2022-10-05,183.3400,188.8200,182.3600,187.6700,6119876
2022-10-04,185.0500,186.2125,183.0700,185.6500,7081350
2022-10-03,179.3400,183.3600,178.1500,181.6500,8842330
2022-09-30,180.0600,182.9200,177.5950,177.6500,9472265
2022-09-29,178.8300,182.2400,178.7250,180.0600,9105169
2022-09-28,177.2600,180.1000,174.8300,179.1800,9750959
2022-09-27,182.5100,184.8500,177.0208,177.8700,9799633
2022-09-26,183.0400,184.5000,179.9000,180.5900,9914638
2022-09-23,183.4700,184.5800,182.2300,183.9600,10755790
2022-09-22,186.3500,187.2100,184.6600,185.7900,6589853
2022-09-21,192.5300,193.0900,187.0000,187.0200,6705947
2022-09-20,191.1000,193.0300,190.2900,192.0700,5292529
2022-09-19,191.5900,193.9900,190.7100,193.1300,8133561
2022-09-16,190.2200,193.8200,188.2200,193.3000,9398242
2022-09-15,198.0900,200.3100,194.5300,195.3700,6099262
2022-09-14,200.0000,200.8800,198.0600,199.4100,4632813
2022-09-13,202.0500,203.4700,198.8700,199.6700,5217877
2022-09-12,206.5000,207.1900,204.9500,206.6300,3812287
2022-09-09,202.0700,206.3953,201.3500,205.2000,4886179
2022-09-08,197.4000,201.1100,196.9600,200.7100,4377815
2022-09-07,198.7100,201.1350,197.2200,200.4200,4098289
2022-09-06,197.9000,200.0400,196.4000,198.6400,4535351
2022-09-02,202.4400,202.4800,196.8500,197.7600,4508486
2022-09-01,198.7200,200.4300,196.6600,200.1300,5608324
2022-08-31,201.0000,203.1650,198.6400,198.7100,6559042
2022-08-30,203.9200,204.4100,200.2100,201.3800,3918150
2022-08-29,201.2500,203.9600,200.6200,202.3300,4473900
2022-08-26,209.7700,210.2599,202.7000,202.8900,5060213
2022-08-25,207.3900,209.9100,206.5000,209.8200,4495041
2022-08-24,206.6300,208.3500,205.6750,206.6700,4230836
