timestamp,open,high,low,close,volume
2022-11-02,331.4200,333.0000,319.6300,319.8200,3075115
2022-11-01,332.2200,333.6400,327.0932,333.1900,3660459
2022-10-31,328.8800,329.4400,323.7800,328.1800,3157979
2022-10-28,319.3100,331.8000,317.8200,329.4700,3644429
2022-10-27,316.1800,323.0800,314.0600,319.3700,4725832
2022-10-26,312.2900,324.4500,312.2900,319.5100,5281438
2022-10-25,305.9100,312.1000,305.8600,311.4100,3012354
2022-10-24,304.5200,307.0000,300.5000,305.6000,3184066
2022-10-21,294.5100,302.7099,293.5000,302.3700,3599622
2022-10-20,297.7500,302.7300,295.6100,296.2800,2463932
2022-10-19,295.4600,299.6350,294.7900,297.7600,1914414
2022-10-18,303.1700,303.7000,296.5500,300.3800,3096016
2022-10-17,295.4200,298.7300,291.3400,295.0400,3417635
2022-10-14,295.8600,298.6210,287.8400,288.6900,3106348
2022-10-13,277.2800,295.4300,276.8700,293.9600,3323054
2022-10-12,286.5400,287.4900,283.2100,283.3800,2646833
2022-10-11,289.8300,290.3850,284.4200,286.0500,3555031
2022-10-10,297.0400,297.2500,289.5400,291.7800,1783529
2022-10-07,296.6600,297.1900,292.9900,294.9700,2210877
2022-10-06,302.5800,305.0500,298.8600,299.2300,2494392
2022-10-05,297.9800,306.6000,297.2500,304.2000,2845321
2022-10-04,296.1900,303.9700,295.9800,301.2700,3949221
2022-10-03,287.8500,292.7500,284.9150,290.4800,5285358
2022-09-30,286.8600,290.7550,284.3400,284.3400,3804233
2022-09-29,288.3500,292.0700,284.8450,286.7700,3439692
2022-09-28,285.1100,292.9800,281.6900,290.1800,5611649
2022-09-27,295.4700,297.9000,284.8000,286.4800,4073383
2022-09-26,290.0500,295.3400,289.1200,290.1100,3635597
2022-09-23,293.1300,294.5700,290.2400,293.5800,3245860
2022-09-22,302.9500,303.0800,296.5900,298.3600,3159830
2022-09-21,314.4800,314.9800,304.2200,304.5000,2366279
2022-09-20,311.1600,314.3700,309.4400,313.2700,2769557
2022-09-19,311.9500,315.4500,310.2500,314.0300,2369737
2022-09-16,312.8500,315.6300,309.1100,315.1300,3650857
2022-09-15,323.5900,325.9400,315.1700,316.9600,2486769
2022-09-14,327.0400,328.4800,323.3500,325.8500,2657942
2022-09-13,330.0000,332.7950,324.5800,325.4400,2316881
2022-09-12,338.0900,339.4800,335.9400,338.4200,2097796
2022-09-09,330.5400,337.0200,330.1500,335.8500,1816725
2022-09-08,324.5300,330.2900,323.4800,330.0700,2114014
2022-09-07,324.0800,329.2000,322.0500,328.6200,1998373
2022-09-06,322.5000,326.9850,320.5550,324.0800,2043365
2022-09-02,329.4100,329.6700,320.5300,322.5600,1936812
2022-09-01,323.8100,325.6100,319.2100,325.2500,2493403
2022-08-31,328.2900,331.1762,324.2800,324.3700,3129021
2022-08-30,331.0000,332.9700,325.5700,327.8100,2618990
2022-08-29,329.9900,332.8100,327.7726,329.3500,2308093
2022-08-26,345.0500,345.6400,331.7000,331.9600,1925047
2022-08-25,340.0000,345.1300,337.3200,344.6700,2228637
2022-08-24,340.1800,342.2900,338.3500,339.7100,2218370
2022-08-23,342.6900,345.2050,339.3700,340.8900,2240652
2022-08-22,350.0000,351.0000,344.2800,345.5100,2312442
2022-08-19,356.6300,356.7700,353.5600,354.2800,1740744
2022-08-18,354.3200,359.5200,353.5701,357.3600,1934865
2022-08-17,353.5000,356.9600,351.7500,355.3300,2439884
2022-08-16,354.2700,360.0000,353.1000,359.2500,2448806
2022-08-15,352.3300,361.9500,350.8200,359.9500,2526281
2022-08-12,354.7400,355.4500,350.2550,354.2700,2514337
2022-08-11,355.8500,355.8500,350.3500,350.5800,2609451
2022-08-10,354.3400,354.5500,351.0500,353.3800,2443693
2022-08-09,350.4000,351.1200,345.3500,346.5400,2467497
2022-08-08,359.0000,359.0000,349.8900,352.1600,2477635
2022-08-05,350.4000,357.8300,350.4000,357.5100,1848651
2022-08-04,354.6700,358.6050,349.6500,356.0700,2339562
2022-08-03,350.0000,356.4800,348.5400,354.1300,2921333
2022-08-02,347.0800,351.1500,343.9750,349.0100,2878764
2022-08-01,347.8100,354.8400,345.6600,350.5400,2289590
2022-07-29,354.1300,356.8000,349.9600,353.7900,3176867
2022-07-28,348.0000,353.2550,340.6200,352.4500,3635536
2022-07-27,343.0100,348.9200,331.2400,343.2700,4580313
2022-07-26,342.6500,344.6250,339.3000,341.2800,2254171
2022-07-25,344.4500,345.5400,340.1100,344.2100,2180057
2022-07-22,348.8800,351.0900,340.4000,343.8800,2252976
2022-07-21,341.8700,347.2300,340.0600,346.9200,2230803
2022-07-20,340.3800,343.3137,336.2850,341.2700,2563621
2022-07-19,331.7800,342.0100,331.7800,340.3800,2689806
2022-07-18,335.5000,337.5053,329.7900,331.0100,2468598
2022-07-15,333.6300,335.5650,329.7600,332.5700,3387487
2022-07-14,316.1600,327.5828,315.3900,325.0300,2744028
2022-07-13,315.9500,324.9300,313.8100,323.3700,2442740
2022-07-12,320.2100,327.3552,320.2100,322.8600,2761667
2022-07-11,319.3800,326.2200,319.1500,324.1900,2073925
2022-07-08,322.7800,324.9800,319.3500,323.0600,1662060
2022-07-07,322.3500,324.8600,319.5190,324.0700,2202143
2022-07-06,319.0000,322.3600,315.7200,320.1700,2219210
2022-07-05,313.0800,320.3100,309.4550,319.2600,2112392
2022-07-01,314.1000,318.9400,311.3100,318.2400,2287773
2022-06-30,315.3000,318.2900,309.6900,315.4800,3411672
2022-06-29,319.1100,326.1100,318.4100,322.5900,3779496
2022-06-28,332.7000,337.1500,318.1200,318.2900,3394334
2022-06-27,331.9700,331.9700,327.1200,328.8300,2810866
2022-06-24,319.2200,330.8100,319.2200,330.5000,4318907
2022-06-23,318.9000,319.9800,313.5400,316.7600,2387590
2022-06-22,313.4700,319.0400,311.3600,316.1500,2671671
2022-06-21,316.0500,320.2300,314.8800,317.4000,3193831
2022-06-17,307.0000,314.1350,303.6500,310.6900,6235394
2022-06-16,316.0900,316.4500,305.0800,308.7800,4528529
2022-06-15,327.4100,330.6300,319.4300,325.3900,2357895
2022-06-14,320.1000,323.9999,319.6600,322.1400,2788401
2022-06-13,322.0000,330.9000,317.9200,319.7400,4825094
