Symbol
AAPL
MSFT
GOOG
GOOGL
AMZN
TSLA
BRK/A
BRK/B
UNH
XOM
JNJ
V
WMT
JPM
CVX
LLY
NVDA
TSM
PG
MA
HD
BAC
PFE
ABBV
KO
